Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.9,6.5,299,0
20,20.0,4.4,5.3,600,0
30,30.0,4.2,5.1,899,0
40,40.0,4.3,5.3,1200,0
50,50.0,4.6,5.9,1499,0
100,100.0,5.4,7.4,2999,0
200,200.0,5.2,8.4,5999,0
300,300.0,5.5,11.9,9000,0
400,400.0,5.7,14.4,12000,0
500,500.0,6.1,16.8,14999,0
600,597.7,7.9,29.0,17930,69
800,797.5,8.0,29.3,23924,71
1000,978.1,11.4,41.8,29343,152
1200,964.9,383.3,1529.4,28948,4857
1400,690.5,90.2,516.9,20714,12899
1600,931.7,365.1,2793.8,27951,7966
1800,0.0,0.0,0.0,0,31198
