Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.1,4.8,300,0
20,20.0,4.0,4.8,600,0
30,30.0,3.8,4.5,900,0
40,40.0,3.7,4.3,1200,0
50,50.0,3.5,4.2,1499,0
100,100.0,3.2,3.8,2999,0
200,200.0,3.1,3.8,5999,0
300,300.0,3.2,4.1,9000,0
400,400.0,3.7,4.3,11999,0
500,499.9,3.7,4.4,14998,0
600,600.0,3.5,4.4,17999,0
800,799.8,3.8,4.6,23994,0
1000,980.8,3.9,4.9,29423,0
1200,1093.1,4.0,5.1,32794,0
1400,1195.1,4.0,5.1,35854,0
1600,1293.2,4.1,5.3,38796,0
1800,1386.9,4.2,5.6,41607,0
2000,1489.9,4.4,5.7,44696,0
2200,1599.2,4.5,5.9,47976,0
2400,1758.9,4.9,6.7,52766,0
2600,1896.5,5.1,7.3,56896,0
2800,2018.7,5.8,8.8,60562,0
3000,2167.7,6.2,9.6,65032,0
3200,2107.0,8.8,20.6,63210,1846
3400,1998.3,12.4,31.1,59948,3128
3600,2010.2,29.0,114.5,60307,2008
3800,1970.0,25.1,58.9,59100,3590
4000,1862.3,72.7,296.5,55870,5135
4200,1932.2,49.8,155.0,57967,3773
4400,1760.3,90.9,370.5,52810,5582
4600,1765.1,151.3,477.3,52954,6969
4800,1545.5,249.4,721.9,46364,8617
5000,1683.1,319.3,1089.7,50494,6721
