Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,6.7,12.1,599,0
40,40.0,6.6,12.1,1199,0
60,60.0,6.3,11.7,1800,0
80,80.0,6.6,12.2,2400,0
100,100.0,7.0,13.1,3000,0
200,200.0,7.2,13.7,6000,0
300,300.0,7.7,14.7,9000,0
400,400.0,8.0,15.3,11999,0
500,499.9,8.4,16.0,14998,0
600,600.0,9.0,17.0,17999,0
800,799.9,10.1,19.5,23997,0
1000,983.9,11.8,23.1,29516,0
1200,1083.3,13.7,26.6,32500,0
1400,1172.5,37.7,86.7,35174,0
1600,1267.2,111.0,243.9,38016,0
1800,1392.0,187.4,395.0,41761,0
2000,1493.9,247.0,528.7,44816,93
2200,1512.8,370.0,748.6,45383,735
2400,1530.6,1191.6,3694.9,45917,1149
2600,1480.0,3994.6,8907.0,44399,1914
2800,1481.2,3918.6,9233.9,44436,2076
3000,1504.0,5223.2,11637.6,45120,2247
3400,1445.3,5246.6,11126.4,43359,3169
3800,1486.1,6457.1,13956.1,44584,3020
4000,1449.3,5912.7,12570.5,43479,3062
4400,1483.8,6469.0,14023.3,44514,3655
4800,1468.7,5699.8,12274.5,44061,3448
5000,1489.8,6673.0,14378.7,44693,3710
