Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.7,6.4,299,0
20,20.0,4.1,4.8,599,0
30,30.0,4.0,4.6,899,0
40,40.0,3.9,4.6,1200,0
50,50.0,4.1,4.9,1500,0
100,100.0,4.1,5.4,2999,0
200,199.9,4.5,7.0,5997,0
300,300.0,5.0,9.5,9000,0
400,400.0,5.5,11.5,12000,0
500,500.0,5.6,12.7,14999,0
600,574.8,36.7,206.0,17243,734
800,799.9,6.2,14.1,23998,0
1000,531.3,85.8,388.0,15938,13460
1200,1095.6,7.0,16.5,32869,0
1400,149.3,595.3,1003.4,4479,28504
1600,1279.4,7.3,17.3,38381,0
1800,0.0,0.0,0.0,0,31647
