Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.0,6.3,299,0
20,20.0,4.8,5.5,600,0
30,30.0,4.5,5.1,900,0
40,40.0,4.4,5.0,1199,0
50,50.0,4.3,5.0,1500,0
100,100.0,4.5,5.8,2999,0
200,200.0,4.9,7.6,5999,0
300,300.0,5.1,9.8,8999,0
400,400.0,5.5,11.7,12000,0
500,499.9,5.6,13.1,14996,0
600,597.3,6.4,16.1,17920,79
800,800.0,6.4,15.7,23999,0
1000,600.8,43.4,196.7,18023,11331
1200,1095.8,7.5,20.2,32873,0
1400,496.4,394.3,1740.5,14891,18017
1600,740.3,377.2,1394.3,22208,15421
1800,689.2,530.8,1419.5,20676,16238
2000,705.8,1174.5,4291.0,21173,19262
2200,442.8,9952.0,20138.1,13285,29979
2400,923.1,3658.5,9501.3,27694,13710
2600,0.0,0.0,0.0,0,41851
