Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.2,5.0,300,0
20,20.0,3.8,4.4,600,0
30,30.0,3.7,4.4,900,0
40,40.0,3.8,4.8,1200,0
50,50.0,4.0,5.4,1499,0
100,100.0,5.0,7.2,3000,0
200,200.0,5.3,10.7,5999,0
300,300.0,5.6,13.3,8999,0
400,399.9,5.8,14.7,11996,0
500,500.0,6.1,16.8,14999,0
600,596.1,6.6,20.1,17884,115
800,799.8,6.8,19.6,23993,0
1000,651.6,109.7,929.7,19548,9866
1200,1099.8,8.0,22.8,32993,64
1400,599.3,1575.7,4121.8,17980,15641
1600,974.0,261.9,2013.9,29220,10201
1800,774.9,4175.4,9604.3,23247,15559
2000,734.2,58.3,356.6,22027,21446
2200,348.4,2477.2,4889.6,10451,30111
2400,845.5,18.9,62.3,25366,22103
2600,0.0,0.0,0.0,0,33223
