Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.2,6.2,299,0
20,20.0,3.8,4.5,600,0
30,30.0,3.6,4.4,899,0
40,40.0,3.7,4.7,1200,0
50,50.0,3.9,5.2,1499,0
100,100.0,4.9,6.9,3000,0
200,200.0,5.3,9.8,5999,0
300,300.0,5.4,11.8,9000,0
400,400.0,5.8,14.5,12000,0
500,500.0,6.1,16.5,14999,0
600,593.8,8.2,26.2,17813,186
800,799.7,7.6,25.5,23990,9
1000,982.3,16.3,58.5,29470,153
1200,792.9,168.3,739.4,23786,9745
1400,1127.2,24.6,42.4,33815,453
1600,174.6,3469.7,12910.1,5239,27262
1800,1148.0,165.3,1052.1,34439,8515
2000,36.7,26328.7,29884.2,1100,34465
2200,1483.1,1284.6,4299.7,44492,2914
2400,0.0,0.0,0.0,0,36164
