Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,13.6,15.5,300,0
20,20.0,13.5,15.9,599,0
50,50.0,14.8,18.3,1500,0
100,100.0,15.4,19.4,3000,0
200,200.0,15.7,23.0,5999,0
400,400.0,14.7,23.7,11999,0
600,599.9,15.1,27.2,17998,0
800,799.9,14.7,29.0,23997,0
1000,987.6,17.6,33.6,29628,0
1200,1165.4,18.2,37.2,34963,0
1400,1362.1,56.0,121.2,40863,0
1600,1553.1,72.9,392.8,46592,0
1800,1259.1,1055.9,3413.4,37774,11466
2000,1781.1,288.6,1182.6,53432,2179
