Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,8.2,14.4,600,0
40,40.0,7.9,14.5,1200,0
60,60.0,7.1,12.7,1799,0
80,80.0,8.0,14.9,2399,0
100,100.0,8.1,15.1,3000,0
200,200.0,7.6,14.4,5999,0
300,300.0,8.0,15.1,8999,0
400,400.0,8.4,15.6,12000,0
500,500.0,8.7,16.3,14999,0
600,600.0,9.5,17.6,17999,0
800,800.0,10.8,20.1,23999,0
1000,984.5,12.9,23.8,29534,0
1200,1086.9,16.0,29.7,32608,0
1400,1174.1,57.9,111.9,35223,0
1600,1258.2,118.8,253.6,37747,0
1800,1385.3,207.4,412.2,41560,0
2000,1374.8,2109.3,8095.4,41245,1172
2200,1393.9,2578.2,9143.0,41817,1272
2400,1315.9,5927.6,14072.0,39478,2673
2600,1281.9,6378.6,15223.0,38456,3317
2800,1298.7,8194.4,18618.6,38962,4035
3000,1263.8,8140.9,17481.1,37913,4069
3400,1295.7,9579.7,20374.3,38870,4943
3800,1263.5,8960.0,18665.5,37904,5378
4000,1296.3,10085.2,21053.9,38890,5790
4400,1261.3,9287.4,19042.4,37838,6507
4800,1284.7,10246.0,21082.3,38540,7319
5000,1260.5,9574.0,19506.9,37815,6966
