Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,8.6,15.7,599,0
40,40.0,8.1,14.9,1199,0
60,60.0,7.5,14.3,1799,0
80,80.0,7.5,14.1,2400,0
100,100.0,7.6,14.1,3000,0
200,200.0,7.3,13.9,6000,0
300,300.0,7.7,14.6,9000,0
400,400.0,8.1,15.4,11999,0
500,500.0,8.6,16.4,15000,0
600,599.9,9.4,17.9,17998,0
800,799.8,10.8,20.8,23994,0
1000,985.8,12.6,24.2,29575,0
1200,1082.6,14.3,27.2,32478,0
1400,1177.0,30.1,70.1,35311,0
1600,1257.7,91.1,197.0,37732,0
1800,1400.4,185.9,377.9,42012,0
2000,1476.8,209.3,413.2,44303,307
2200,1572.6,263.5,499.5,47178,57
2400,1598.8,415.5,661.4,47963,618
2600,1428.2,4904.6,11401.8,42846,1634
2800,1437.1,3834.9,9855.3,43114,2084
3000,1481.5,5771.6,14042.0,44444,2188
3400,1409.9,5939.9,12846.0,42296,2286
3800,1434.7,7718.6,16784.2,43040,3321
4000,1397.1,6848.8,14364.5,41914,2857
4400,1431.3,8133.2,17276.3,42938,3926
4800,1401.5,7099.5,14605.0,42044,3460
5000,1426.0,8224.0,17258.4,42780,4453
