Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,10.6,11.5,599,0
40,40.0,10.3,11.3,1199,0
80,80.0,10.0,11.1,2400,0
160,160.0,9.9,11.1,4800,0
320,320.0,9.3,11.0,9599,0
640,640.0,8.2,10.6,19199,0
1000,979.5,6.2,8.3,29385,0
1500,1218.3,5.9,7.5,36550,0
2000,1468.1,6.7,8.8,44044,0
3000,1907.2,7142.6,9240.4,57217,5604
