Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,4.1,4.7,300,0
20,20.0,4.0,4.6,600,0
30,30.0,3.8,4.4,899,0
40,40.0,3.6,4.3,1200,0
50,50.0,3.5,4.2,1500,0
100,100.0,3.2,3.8,3000,0
200,200.0,3.0,3.6,5999,0
300,300.0,3.1,3.7,8999,0
400,400.0,3.1,3.8,11999,0
500,499.9,3.2,4.0,14998,0
600,600.0,3.4,4.1,17999,0
800,799.9,3.7,4.6,23996,0
1000,981.7,4.0,5.3,29452,0
1200,1104.0,4.3,6.0,33120,0
1400,1199.3,4.7,6.5,35979,0
1600,1262.3,1686.9,6383.7,37868,0
1800,970.5,2048.3,5254.8,29114,9352
2000,1143.6,4304.1,10413.4,34309,7313
2200,942.5,3528.8,8517.5,28276,11685
2400,1013.7,4676.5,9412.1,30410,12642
2600,772.0,7122.7,12965.4,23159,18045
2800,938.7,6518.1,12604.6,28161,15762
3000,914.8,7528.3,10638.2,27445,16806
3200,897.3,6428.4,12019.2,26919,17823
3400,836.5,8807.5,15825.2,25096,19220
3600,951.4,7874.4,14017.9,28542,17910
3800,875.9,7375.7,11285.9,26277,19498
4000,872.7,9199.8,15713.2,26182,19348
4200,852.2,9260.1,16616.7,25566,20281
4400,912.1,10725.6,16626.3,27363,19422
4600,896.1,8879.0,14105.0,26883,19923
4800,870.7,10483.7,15410.6,26120,20610
5000,883.5,9801.4,14778.2,26506,20502
