Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
10,10.0,5.2,6.0,300,0
20,20.0,5.0,5.8,600,0
30,30.0,4.9,5.8,899,0
40,40.0,4.7,5.5,1199,0
50,50.0,4.4,5.3,1499,0
100,100.0,3.8,4.5,3000,0
200,200.0,3.5,4.1,6000,0
300,300.0,3.5,4.2,9000,0
400,400.0,3.6,4.3,11999,0
500,500.0,3.7,4.4,14999,0
600,599.7,3.9,4.7,17990,0
800,799.5,4.2,5.2,23985,0
1000,981.7,4.6,5.9,29450,0
1200,1102.3,4.9,6.6,33068,0
1400,1197.8,5.2,7.0,35933,0
1600,1253.7,1003.1,4947.9,37610,0
1800,1075.7,2637.8,7020.7,32270,7050
2000,1038.3,4000.1,8898.4,31150,9187
2200,1084.8,3068.6,8409.5,32545,9057
2400,984.2,4878.1,9903.2,29526,12773
2600,860.7,6059.1,10942.3,25821,16462
2800,972.9,6401.9,11669.1,29188,15150
3000,897.5,7439.7,11656.4,26925,17003
3200,915.0,7649.1,13125.7,27449,17837
3400,844.7,7433.8,11895.3,25342,19239
3600,961.9,8563.0,15840.2,28858,17608
3800,815.4,8023.2,13109.0,24462,19897
4000,947.9,10157.5,16831.7,28437,18480
4200,861.0,7692.1,12437.4,25831,20045
4400,926.7,10982.9,14900.0,27800,19165
4600,886.0,9306.6,15202.2,26581,19262
4800,891.4,10869.9,17231.9,26743,19985
5000,937.2,11259.3,16526.2,28117,19175
