Target RPS,Actual RPS,Avg Latency (ms),p95 Latency (ms),Success Count,Failure Count
20,20.0,6.9,12.5,599,0
40,40.0,6.4,11.9,1199,0
60,60.0,6.4,11.8,1799,0
80,80.0,6.2,11.7,2400,0
100,100.0,6.4,11.8,2999,0
200,200.0,7.2,13.9,5999,0
300,300.0,7.6,14.6,8999,0
400,400.0,8.0,15.1,11999,0
500,500.0,8.3,16.1,14999,0
600,600.0,8.9,16.9,17999,0
800,800.0,9.9,19.0,23999,0
1000,985.6,11.7,23.0,29568,0
1200,1084.2,14.6,28.3,32527,0
1400,1184.4,79.9,180.2,35532,0
1600,1266.0,139.4,301.8,37979,0
1800,1392.6,199.4,425.3,41779,0
2000,1492.8,295.8,601.6,44784,195
2200,1467.1,810.5,2688.4,44013,762
2400,1511.8,2010.4,5955.9,45353,1881
2600,1549.2,3722.0,7983.3,46477,1621
2800,1497.7,4392.5,9134.8,44932,2366
3000,1553.1,5247.7,11014.9,46593,1979
3400,1519.5,5007.7,10270.0,45585,2846
3800,1542.8,5648.2,11795.1,46284,2891
4000,1519.9,5307.9,10773.9,45598,3269
4400,1538.8,5627.7,11544.7,46163,3423
4800,1535.5,5178.0,10672.0,46066,3406
5000,1547.2,5355.1,10984.5,46415,4083
